h, rho, T, P, kn, C_D
0, 5.4492, 93.28, 146872, 5.51697e-09, 1.5
10000, 4.42833, 93.9086, 120192, 6.78705e-09, 1.5
20000, 3.59871, 94.5372, 98354.2, 8.34952e-09, 1.5
30000, 2.92452, 95.1658, 80480.5, 1.02717e-08, 1.5
40000, 2.37663, 95.7945, 65852.1, 1.26364e-08, 1.5
50000, 1.93139, 96.4231, 53880.2, 1.55455e-08, 1.5
60000, 1.56955, 97.0517, 44083, 1.91242e-08, 1.5
70000, 1.27551, 97.6803, 36065.7, 2.35269e-08, 1.5
80000, 1.03655, 98.3089, 29505.3, 2.89431e-08, 1.5
90000, 0.842361, 98.9375, 24137.2, 3.56062e-08, 1.5
100000, 0.684551, 99.5662, 19745, 4.38032e-08, 1.5
110000, 0.556305, 100.195, 16151.4, 5.38873e-08, 1.5
120000, 0.452085, 100.823, 13211.3, 6.62928e-08, 1.5
130000, 0.36739, 101.452, 10806, 8.15543e-08, 1.5
140000, 0.298562, 102.081, 8838.29, 1.00329e-07, 1.5
150000, 0.242629, 102.709, 7228.6, 1.23426e-07, 1.5
160000, 0.197174, 103.338, 5911.86, 1.5184e-07, 1.5
170000, 0.160235, 103.966, 4834.79, 1.86796e-07, 1.5
180000, 0.130216, 104.595, 3953.81, 2.29799e-07, 1.5
190000, 0.105821, 105.224, 3233.24, 2.82701e-07, 1.5
200000, 0.0859961, 105.852, 2643.89, 3.47783e-07, 1.5
210000, 0.0698853, 106.481, 2161.9, 4.27847e-07, 1.5
220000, 0.0567928, 107.11, 1767.71, 5.26342e-07, 1.5
230000, 0.046153, 107.738, 1445.35, 6.47513e-07, 1.5
240000, 0.0375066, 108.367, 1181.73, 7.96578e-07, 1.5
250000, 0.03048, 108.995, 966.166, 9.7996e-07, 1.5
260000, 0.0247698, 109.624, 789.895, 1.20556e-06, 1.5
270000, 0.0201293, 110.253, 645.762, 1.48309e-06, 1.5
280000, 0.0163583, 110.881, 527.913, 1.82452e-06, 1.5
290000, 0.0132936, 111.51, 431.556, 2.24454e-06, 1.5
300000, 0.0108032, 112.138, 352.776, 2.76126e-06, 1.5
310000, 0.00877928, 112.767, 288.368, 3.39694e-06, 1.5
320000, 0.00713454, 113.396, 235.712, 4.17895e-06, 1.5
330000, 0.00579793, 114.024, 192.665, 5.14099e-06, 1.5
340000, 0.00471173, 114.653, 157.475, 6.3245e-06, 1.5
350000, 0.00382902, 115.282, 128.708, 7.78048e-06, 1.5
360000, 0.00311168, 115.91, 105.193, 9.57163e-06, 1.5
370000, 0.00252873, 116.539, 85.972, 1.17751e-05, 1.5
380000, 0.00205499, 117.167, 70.2609, 1.44859e-05, 1.5
390000, 0.00167, 117.796, 57.4193, 1.78207e-05, 1.5
400000, 0.00135714, 118.425, 46.9234, 2.19232e-05, 1.5
410000, 0.00110289, 119.053, 38.3451, 2.69702e-05, 1.5
420000, 0.00089627, 119.682, 31.3341, 3.3179e-05, 1.5
430000, 0.00072836, 120.31, 25.6043, 4.08171e-05, 1.5
440000, 0.000591907, 120.939, 20.9217, 5.02137e-05, 1.5
450000, 0.000481017, 121.568, 17.095, 6.17734e-05, 1.5
460000, 0.000390902, 122.196, 13.9678, 7.59942e-05, 1.5
470000, 0.000317669, 122.825, 11.4124, 9.34889e-05, 1.5
480000, 0.000258156, 123.454, 9.3243, 0.000115011, 1.5
490000, 0.000209792, 124.082, 7.61803, 0.000141488, 1.5
500000, 0.000170489, 124.711, 6.22384, 0.000174059, 1.5
510000, 0.000138549, 125.339, 5.08467, 0.00021413, 1.5
520000, 0.000112593, 125.968, 4.1539, 0.000263424, 1.5
530000, 9.14996e-05, 126.597, 3.39343, 0.000324067, 1.5
540000, 7.43578e-05, 127.225, 2.77211, 0.000398671, 1.5
550000, 6.04274e-05, 127.854, 2.2645, 0.000490448, 1.5
560000, 4.91067e-05, 128.482, 1.84979, 0.000603354, 1.5
570000, 3.99069e-05, 129.111, 1.511, 0.000742252, 1.5
580000, 3.24306e-05, 129.74, 1.23422, 0.000913125, 1.5
590000, 2.6355e-05, 130.368, 1.00813, 0.00112334, 1.50024
600000, 2.14176e-05, 130.997, 0.823426, 0.00138194, 1.50182
610000, 1.74051e-05, 131.626, 0.67255, 0.00170007, 1.5049
620000, 1.41444e-05, 132.254, 0.549307, 0.00209144, 1.50945
630000, 1.14946e-05, 132.883, 0.448638, 0.00257291, 1.51545
640000, 9.34113e-06, 133.511, 0.366409, 0.00316522, 1.52287
650000, 7.59113e-06, 134.14, 0.299246, 0.00389388, 1.53168
660000, 6.16899e-06, 134.769, 0.244388, 0.00479028, 1.54182
670000, 5.01327e-06, 135.397, 0.199582, 0.00589305, 1.55325
680000, 4.07407e-06, 136.026, 0.162988, 0.00724968, 1.56592
690000, 3.31082e-06, 136.654, 0.1331, 0.00891861, 1.57975
700000, 2.69056e-06, 137.283, 0.108691, 0.0109718, 1.59468
710000, 2.1865e-06, 137.912, 0.0887561, 0.0134975, 1.61064
720000, 1.77688e-06, 138.54, 0.0724761, 0.0166048, 1.62754
730000, 1.44399e-06, 139.169, 0.059181, 0.0204273, 1.64531
740000, 1.17347e-06, 139.798, 0.0483238, 0.0251299, 1.66384
750000, 9.53629e-07, 140.426, 0.0394577, 0.030915, 1.68306
760000, 7.74973e-07, 141.055, 0.0322176, 0.0380318, 1.70286
770000, 6.29787e-07, 141.683, 0.0263054, 0.046787, 1.72314
780000, 5.11801e-07, 142.312, 0.0214778, 0.0575578, 1.74381
790000, 4.15919e-07, 142.941, 0.0175358, 0.070808, 1.76476
800000, 3.37999e-07, 143.569, 0.014317, 0.0871085, 1.78588
810000, 2.74678e-07, 144.198, 0.0116888, 0.107162, 1.80708
820000, 2.23219e-07, 144.826, 0.00954295, 0.131831, 1.82824
830000, 1.814e-07, 145.455, 0.00779086, 0.162179, 1.84925
840000, 1.47416e-07, 146.084, 0.00636034, 0.199514, 1.87003
850000, 1.19799e-07, 146.712, 0.00519238, 0.245444, 1.89045
860000, 9.73553e-08, 147.341, 0.00423882, 0.301946, 1.91042
870000, 7.91165e-08, 147.97, 0.00346032, 0.371457, 1.92984
880000, 6.42946e-08, 148.598, 0.00282474, 0.456968, 1.94861
890000, 5.22494e-08, 149.227, 0.00230587, 0.562166, 1.96664
900000, 4.24609e-08, 149.855, 0.00188227, 0.69158, 1.98384
910000, 3.45061e-08, 150.484, 0.00153646, 0.850786, 2.00012
920000, 2.80416e-08, 151.113, 0.00125416, 1.04664, 2.0154
930000, 2.27882e-08, 151.741, 0.00102372, 1.28759, 2.02961
940000, 1.8519e-08, 152.37, 0.000835597, 1.584, 2.04267
950000, 1.50496e-08, 152.998, 0.000682036, 1.94864, 2.05452
960000, 1.22302e-08, 153.627, 0.000556685, 2.39723, 2.0651
970000, 9.93893e-09, 154.256, 0.000454366, 2.94909, 2.07435
980000, 8.07694e-09, 154.884, 0.000370846, 3.62798, 2.08224
990000, 6.56379e-09, 155.513, 0.000302674, 4.46317, 2.08871
1e+06, 5.33411e-09, 156.142, 0.00024703, 5.49061, 2.09375
1.01e+06, 4.3348e-09, 156.77, 0.000201612, 6.75458, 2.09732
1.02e+06, 3.5227e-09, 157.399, 0.000164542, 8.30952, 2.0994
1.03e+06, 2.86275e-09, 158.027, 0.000134286, 10.2224, 2.1
1.04e+06, 2.32643e-09, 158.656, 0.000109592, 12.5757, 2.1
1.05e+06, 1.89059e-09, 159.285, 8.94369e-05, 15.4707, 2.1
1.06e+06, 1.5364e-09, 159.913, 7.29877e-05, 19.0321, 2.1
1.07e+06, 1.24857e-09, 160.542, 5.95629e-05, 23.4134, 2.1
1.08e+06, 1.01466e-09, 161.17, 4.86067e-05, 28.8033, 2.1
1.09e+06, 8.2457e-10, 161.799, 3.96651e-05, 35.4339, 2.1
1.1e+06, 6.70092e-10, 162.428, 3.2368e-05, 43.591, 2.1
1.11e+06, 5.44555e-10, 163.056, 2.64129e-05, 53.6258, 2.1
1.12e+06, 4.42537e-10, 163.685, 2.15531e-05, 65.9707, 2.1
1.13e+06, 3.5963e-10, 164.314, 1.75872e-05, 81.1575, 2.1
1.14e+06, 2.92256e-10, 164.942, 1.43509e-05, 99.8403, 2.1
1.15e+06, 2.37504e-10, 165.571, 1.17099e-05, 122.824, 2.1
1.16e+06, 1.93009e-10, 166.199, 9.55479e-06, 151.099, 2.1
1.17e+06, 1.5685e-10, 166.828, 7.79621e-06, 185.882, 2.1
1.18e+06, 1.27466e-10, 167.457, 6.36121e-06, 228.673, 2.1
1.19e+06, 1.03586e-10, 168.085, 5.19027e-06, 281.314, 2.1
1.2e+06, 8.41797e-11, 168.714, 4.23481e-06, 346.074, 2.1
1.21e+06, 6.84092e-11, 169.342, 3.45519e-06, 425.741, 2.1
1.22e+06, 5.55932e-11, 169.971, 2.81906e-06, 523.749, 2.1
1.23e+06, 4.51782e-11, 170.6, 2.30001e-06, 644.318, 2.1
1.24e+06, 3.67144e-11, 171.228, 1.87651e-06, 792.642, 2.1
1.25e+06, 2.98362e-11, 171.857, 1.53096e-06, 975.111, 2.1
1.26e+06, 2.42466e-11, 172.486, 1.24903e-06, 1199.58, 2.1
1.27e+06, 1.97042e-11, 173.114, 1.01901e-06, 1475.73, 2.1
1.28e+06, 1.60127e-11, 173.743, 8.31331e-07, 1815.45, 2.1
1.29e+06, 1.30129e-11, 174.371, 6.78212e-07, 2233.37, 2.1
1.3e+06, 1.0575e-11, 175, 5.53288e-07, 2747.5, 2.1
